,Course,Description,Image,Instructor,Link,Price,PrimaryCategory,PrimaryCategoryID,PrimarySubcategory,PrimarySubcategoryID,Rating
0,JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",https://udemy-images.udemy.com/course/480x270/364426_2991_5.jpg,Anthony Alicea,/understand-javascript/,$174.99,Development,288,Web Development,8,4.77
1,Learn and Understand AngularJS,"Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",https://udemy-images.udemy.com/course/480x270/289230_1056_16.jpg,Anthony Alicea,/learn-angularjs/,$174.99,Development,288,Web Development,8,4.68
2,Webpack 2: The Complete Developer's Guide,"Master Webpack 2 as you deploy web apps supported by Babel, code splitting, and ES2015 Modules.",https://udemy-images.udemy.com/course/480x270/1039062_e553_4.jpg,Stephen Grider,/webpack-2-the-complete-developers-guide/,$74.99,Development,288,Web Development,8,4.73
3,Blockchain and Bitcoin Fundamentals,Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.,https://udemy-images.udemy.com/course/480x270/1151036_64b6_6.jpg,George Levy,/blockchain-and-bitcoin-fundamentals/,$94.99,IT & Software,294,Other,140,4.71
4,Build Responsive Real World Websites with HTML5 and CSS3,"The easiest way to learn modern web design, HTML5 and CSS3 step-by-step from scratch. Design AND code a huge project.",https://udemy-images.udemy.com/course/480x270/437398_46c3_9.jpg,Jonas Schmedtmann,/design-and-develop-a-killer-website-with-html5-and-css3/,$199.99,Development,288,Web Development,8,4.69
5,"C# Intermediate: Classes, Interfaces and OOP","An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",https://udemy-images.udemy.com/course/480x270/383576_fd27_3.jpg,Mosh Hamedani,/csharp-intermediate-classes-interfaces-and-oop/,$149.99,Development,288,Programming Languages,12,4.64
6,"Reiki Level I, II and Master/Teacher Program","Learn Reiki Levels 1, 2 and Master Level to become a Certified Traditional Usui Reiki Practitioner/Instructor",https://udemy-images.udemy.com/course/480x270/59527_ac27_15.jpg,Lisa Powers,/reikicourse/,$194.99,Personal Development,296,Personal Transformation,142,4.73
7,C# Advanced Topics: Take Your C# Skills to the Next Level,"The advanced C# constructs that every C# coder must know: Events, Delegates, Lambda Expressions, LINQ, Async and more",https://udemy-images.udemy.com/course/480x270/356030_0209_4.jpg,Mosh Hamedani,/csharp-advanced/,$149.99,Development,288,Programming Languages,12,4.61
8,Crystal Reiki Master/Teacher Certification,Step into your power and become a Certified Crystal Reiki Master,https://udemy-images.udemy.com/course/480x270/1031706_32cc_2.jpg,Lisa Powers,/crystal-reiki/,$94.99,Personal Development,296,Personal Transformation,142,4.8
9,Cryptocurrency ICO Investing Course 2018: Identify the Best!,Learn how to pick the most high-quality and game-changing ICOs in 2018 and onwards to help build your Retirement fund!,https://udemy-images.udemy.com/course/480x270/1477512_a237.jpg,Suppoman ™,/cryptocurrency-ico/,$199.99,Personal Development,296,Personal Finance,148,4.52
10,ES6 Javascript: The Complete Developer's Guide,ES6 Javascript Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.,https://udemy-images.udemy.com/course/480x270/861624_864d_2.jpg,Stephen Grider,/javascript-es6-tutorial/,$79.99,Development,288,Web Development,8,4.69
11,R Programming: Advanced Analytics In R For Data Science,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2",https://udemy-images.udemy.com/course/480x270/860148_4f31.jpg,Kirill Eremenko,/r-analytics/,$199.99,Business,268,Data & Analytics,44,4.66
12,Become A Learning Machine 2.0: Read 300 Books This Year,"How To Finally Get Through Your Unread Bookshelf, Even If You Have Little Time and Read Too Slowlyâ€¦ Guaranteed!",https://udemy-images.udemy.com/course/480x270/1330590_3cb3.jpg,Brandon Hakim,/become-a-learning-machine-read-300-books/,$194.99,Personal Development,296,Memory & Study Skills,172,4.61
13,eBay Drop Shipping Guide with No Inventory - Work From Home,Learn exactly how to work from home purely selling and drop shipping on eBay. No up front inventory! Basic to Advanced!,https://udemy-images.udemy.com/course/480x270/419658_42ce_4.jpg,David Vu,/ebay-drop-shipping-guide-with-no-inventory-work-from-home/,$194.99,Business,268,Home Business,46,4.66
14,Server Side Rendering with React and Redux,"Build React, Redux, and React Router apps using Server Side Rendering (SSR), Isomorphic, and Universal JS techniques",https://udemy-images.udemy.com/course/480x270/1383496_caab_4.jpg,Stephen Grider,/server-side-rendering-with-react-and-redux/,$39.99,Development,288,Web Development,8,4.8
15,Understanding TypeScript,"Don't limit the Usage of TypeScript to Angular 2! Learn the Basics, its Features, Workflows and how to use it!",https://udemy-images.udemy.com/course/480x270/947098_02ec.jpg,Maximilian Schwarzmüller,/understanding-typescript/,$109.99,Development,288,Web Development,8,4.69
16,The Complete SQL Bootcamp,Become an expert at SQL!,https://udemy-images.udemy.com/course/480x270/762616_7693_3.jpg,Jose Portilla,/the-complete-sql-bootcamp/,$194.99,Business,268,Data & Analytics,44,4.61
